Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	NEW ENGLAND JOURNAL OF MEDICINE	"332831"	79.260	0.701880
2	LANCET	"233269"	53.254	0.435530
3	JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION	"148775"	47.661	0.300050
4	NATURE REVIEWS GENETICS	"35680"	41.465	0.094240
5	NATURE MEDICINE	"75461"	32.621	0.171940
6	NATURE REVIEWS MICROBIOLOGY	"26627"	31.851	0.055470
7	NATURE GENETICS	"93641"	27.125	0.233960
8	BMJ-British Medical Journal	"109321"	23.562	0.150400
9	EUROPEAN HEART JOURNAL	"56054"	23.425	0.146820
10	Journal of Statistical Software	"14900"	22.737	0.038710
11	CLINICAL MICROBIOLOGY REVIEWS	"18070"	20.642	0.020210
12	JAMA Internal Medicine	"11840"	19.989	0.076310
13	ANNALS OF INTERNAL MEDICINE	"53689"	19.384	0.099150
14	CIRCULATION	"167720"	18.881	0.223600
15	Lancet Global Health	"4455"	18.705	0.024310
15	Lancet Global Health	"4455"	18.705	0.024310
17	Cell Host & Microbe	"15851"	17.872	0.064760
18	JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY	"99084"	16.834	0.213530
19	Science Translational Medicine	"26692"	16.710	0.126390
20	Nature Reviews Disease Primers	"1559"	16.071	0.007250
21	TRENDS IN ECOLOGY & EVOLUTION	"35124"	15.938	0.038810
22	CIRCULATION RESEARCH	"52753"	15.211	0.082780
23	Nature Reviews Cardiology	"5228"	15.162	0.018210
24	Annual Review of Medicine	"6111"	14.970	0.010320
25	Nature Microbiology	"2510"	14.174	0.013660
26	Physics of Life Reviews	"1381"	13.783	0.002960
27	MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS	"11301"	13.439	0.012060
28	JOURNAL OF CLINICAL INVESTIGATION	"107818"	13.251	0.165240
29	GENOME BIOLOGY	"34697"	13.214	0.118400
30	MMWR-MORBIDITY AND MORTALITY WEEKLY REPORT	"24208"	12.888	0.091810
31	Journal of Cachexia Sarcopenia and Muscle	"2207"	12.511	0.005200
32	TRENDS IN MICROBIOLOGY	"11344"	11.776	0.020970
33	BIOLOGICAL REVIEWS	"11139"	11.700	0.017260
34	PLOS MEDICINE	"24232"	11.675	0.058660
35	FEMS MICROBIOLOGY REVIEWS	"11237"	11.392	0.016410
36	TRENDS IN MOLECULAR MEDICINE	"9213"	11.021	0.019700
37	JOURNAL OF EXPERIMENTAL MEDICINE	"62537"	10.790	0.078260
38	EUROPEAN JOURNAL OF HEART FAILURE	"11113"	10.683	0.027590
39	TRENDS IN GENETICS	"11805"	10.556	0.023010
40	EMBO Molecular Medicine	"6402"	10.293	0.026150
41	JACC-Cardiovascular Imaging	"8104"	10.247	0.026350
42	MOLECULAR BIOLOGY AND EVOLUTION	"44664"	10.217	0.101480
43	JAMA Cardiology	"1650"	10.133	0.008630
44	GENOME RESEARCH	"38842"	10.101	0.104970
