"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE	SSCI Selected Categories: 'HEMATOLOGY' Selected Category Scheme: WoS"				
Rank	Full Journal Title	Total Cites	Journal Impact Factor	Eigenfactor Score
1	BLOOD	"161	827"	16.562	0.240720
2	CIRCULATION RESEARCH	"52	988"	15.862	0.072290
3	Lancet Haematology	"1	934"	11.990	0.010520
4	LEUKEMIA	"24	555"	9.944	0.054750
5	Journal of Hematology & Oncology	"5	366"	8.731	0.013620
6	Blood Cancer Journal	"2	247"	7.895	0.009060
7	HAEMATOLOGICA	"16	255"	7.570	0.037660
8	ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY	"33	223"	6.618	0.036000
9	AMERICAN JOURNAL OF HEMATOLOGY	"10	375"	6.137	0.022930
10	BLOOD REVIEWS	"2	889"	6.125	0.005980
11	JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM	"19	766"	6.040	0.028050
12	STEM CELLS	"21	467"	5.614	0.030220
13	BRITISH JOURNAL OF HAEMATOLOGY	"23	963"	5.206	0.037720
14	CRITICAL REVIEWS IN ONCOLOGY HEMATOLOGY	"7	401"	5.012	0.012890
15	THROMBOSIS AND HAEMOSTASIS	"16	590"	4.733	0.022810
16	BONE MARROW TRANSPLANTATION	"12	031"	4.674	0.020710
17	JOURNAL OF THROMBOSIS AND HAEMOSTASIS	"18	886"	4.662	0.028230
18	CYTOTHERAPY	"5	969"	4.297	0.009690
19	JOURNAL OF LEUKOCYTE BIOLOGY	"16	921"	4.012	0.019570
20	SEMINARS IN HEMATOLOGY	"2	157"	3.738	0.003950
21	TRANSFUSION MEDICINE REVIEWS	"1	434"	3.610	0.002890
22	BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION	"10	501"	3.599	0.023950
23	HAEMOPHILIA	"6	425"	3.590	0.007870
24	HEMATOLOGICAL ONCOLOGY	"1	224"	3.439	0.003850
25	SEMINARS IN THROMBOSIS AND HEMOSTASIS	"4	138"	3.401	0.006280
26	Blood Transfusion	"1	881"	3.352	0.003950
27	THROMBOSIS RESEARCH	"10	982"	3.266	0.018150
28	STEM CELLS AND DEVELOPMENT	"7	899"	3.147	0.013510
29	TRANSFUSION	"13	219"	3.111	0.022310
30	PLATELETS	"2	710"	3.106	0.005020
31	Therapeutic Advances in Hematology	554	3.105	0.001810
32	JOURNAL OF CLINICAL APHERESIS	"1	249"	3.088	0.001940
33	SHOCK	"7	638"	3.083	0.012070
34	TRANSFUSION MEDICINE AND HEMOTHERAPY	"1	196"	3.000	0.002370
35	JOURNAL OF THROMBOSIS AND THROMBOLYSIS	"2	789"	2.941	0.005860
36	HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA	"2	313"	2.878	0.005070
37	CURRENT OPINION IN HEMATOLOGY	"2	778"	2.864	0.005600
38	ANNALS OF HEMATOLOGY	"5	467"	2.850	0.011140
39	MICROCIRCULATION	"2	553"	2.679	0.003530
40	LEUKEMIA & LYMPHOMA	"8	187"	2.674	0.016270
41	Expert Review of Hematology	"1	311"	2.505	0.003690
42	Hematology-American Society of Hematology Education Program	"2	944"	2.497	0.007260
43	PEDIATRIC BLOOD & CANCER	"10	879"	2.486	0.024130
44	EXPERIMENTAL HEMATOLOGY	"5	176"	2.462	0.006120
45	Current Hematologic Malignancy Reports	723	2.397	0.002570
46	VOX SANGUINIS	"3	410"	2.364	0.005370
47	BLOOD PURIFICATION	"2	033"	2.363	0.003100
48	BLOOD CELLS MOLECULES AND DISEASES	"3	164"	2.305	0.004060
49	Clinical Lymphoma Myeloma & Leukemia	"2	213"	2.274	0.006290
50	INTERNATIONAL JOURNAL OF HEMATOLOGY	"3	887"	2.251	0.006290
51	EUROPEAN JOURNAL OF HAEMATOLOGY	"4	482"	2.217	0.006890
52	International Journal of Laboratory Hematology	"1	631"	2.073	0.003360
53	LEUKEMIA RESEARCH	"5	929"	2.066	0.007660
54	BEST PRACTICE & RESEARCH CLINICAL HAEMATOLOGY	"1	177"	1.988	0.001850
55	TRANSFUSION MEDICINE	"1	332"	1.900	0.002000
56	CLINICAL AND APPLIED THROMBOSIS-HEMOSTASIS	"1	760"	1.846	0.002770
57	CLINICAL HEMORHEOLOGY AND MICROCIRCULATION	"2	232"	1.642	0.002290
58	Mediterranean Journal of Hematology and Infectious Diseases	746	1.586	0.001710
59	TRANSFUSION AND APHERESIS SCIENCE	"1	821"	1.412	0.003300
60	Hematology	"1	161"	1.318	0.001470
61	ACTA HAEMATOLOGICA	"1	633"	1.313	0.001610
62	BLOOD COAGULATION & FIBRINOLYSIS	"2	591"	1.120	0.003120
63	THERAPEUTIC APHERESIS AND DIALYSIS	"1	501"	1.077	0.002330
64	PEDIATRIC HEMATOLOGY AND ONCOLOGY	"1	190"	1.041	0.001660
65	TRANSFUSION CLINIQUE ET BIOLOGIQUE	516	1.029	0.000540
66	Hamostaseologie	534	1.000	0.000900
67	JOURNAL OF PEDIATRIC HEMATOLOGY ONCOLOGY	"3	658"	0.947	0.005040
68	BIORHEOLOGY	"1	537"	0.933	0.000540
69	Indian Journal of Hematology and Blood Transfusion	551	0.869	0.000970
70	Turkish Journal of Hematology	349	0.779	0.000620
71	HEMOGLOBIN	953	0.598	0.001050
72	Journal of Hematopathology	99	0.410	0.000210
73	GEMATOLOGIYA I TRANSFUZIOLOGIYA	27	0.050	0.000010
Copyright © 2019 Clarivate Analytics				
"By exporting the selected data	 you agree to the data usage policy set forth in the Terms of Use"				
